Date,Building,Energy_Usage_kWh,Water_Usage_Liters,Waste_kg,Carbon_Emissions
2024-01-01,Science Hall,150,5000,25,75
2024-01-02,Science Hall,155,5100,26,77.5
2024-01-03,Science Hall,148,4900,24,74
2024-01-04,Science Hall,160,5200,27,80
2024-01-05,Science Hall,165,5300,28,82.5
2024-01-06,Library,120,4000,20,60
2024-01-07,Library,118,3900,19,59
2024-01-08,Library,125,4100,21,62.5
2024-01-09,Library,122,4000,20,61
2024-01-10,Library,128,4200,22,64
2024-01-11,Engineering Building,200,6500,35,100
2024-01-12,Engineering Building,210,6700,36,105
2024-01-13,Engineering Building,195,6200,33,97.5
2024-01-14,Engineering Building,220,7000,38,110
2024-01-15,Engineering Building,215,6800,37,107.5
2024-01-16,Student Union,100,3500,15,50
2024-01-17,Student Union,105,3700,16,52.5
2024-01-18,Student Union,98,3300,14,49
2024-01-19,Student Union,110,3900,17,55
2024-01-20,Student Union,108,3800,16,54
2024-01-21,Science Hall,170,5400,29,85
2024-01-22,Science Hall,175,5500,30,87.5
2024-01-23,Science Hall,168,5200,28,84
2024-01-24,Science Hall,180,5600,31,90
2024-01-25,Science Hall,185,5800,32,92.5
2024-01-26,Library,130,4300,23,65
2024-01-27,Library,132,4400,24,66
2024-01-28,Library,128,4200,22,64
2024-01-29,Library,135,4500,25,67.5
2024-01-30,Library,140,4700,26,70
2024-01-31,Engineering Building,225,7100,39,112.5
2024-02-01,Engineering Building,235,7300,40,117.5
2024-02-02,Engineering Building,220,7000,38,110
2024-02-03,Engineering Building,240,7400,41,120
2024-02-04,Engineering Building,230,7200,40,115
2024-02-05,Student Union,115,4000,18,57.5
2024-02-06,Student Union,112,3900,17,56
2024-02-07,Student Union,120,4100,19,60
2024-02-08,Student Union,118,4000,18,59
2024-02-09,Student Union,125,4300,20,62.5
2024-02-10,Science Hall,190,5900,33,95
2024-02-11,Science Hall,195,6000,34,97.5
2024-02-12,Science Hall,188,5800,32,94
2024-02-13,Science Hall,200,6200,35,100
2024-02-14,Science Hall,205,6300,36,102.5
2024-02-15,Library,145,4900,27,72.5
2024-02-16,Library,148,5000,28,74
2024-02-17,Library,142,4800,26,71
2024-02-18,Library,150,5100,29,75
2024-02-19,Library,155,5300,30,77.5
2024-02-20,Engineering Building,245,7500,42,122.5
2024-02-21,Engineering Building,250,7600,43,125
2024-02-22,Engineering Building,240,7400,41,120
2024-02-23,Engineering Building,255,7800,44,127.5
2024-02-24,Engineering Building,260,7900,45,130
2024-02-25,Student Union,130,4400,21,65
2024-02-26,Student Union,128,4300,20,64
2024-02-27,Student Union,135,4500,22,67.5
2024-02-28,Student Union,132,4400,21,66
2024-02-29,Student Union,140,4700,23,70
